Metric,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
Net product sales,160711000,158837000,248336000,195368000,151464000,148819000,223891000,191356000,146521000,153190000,230614000,194350000
Rental and royalty revenue,1381000,1308000,1516000,1908000,1711000,1917000,2043000,2016000,1934000,1898000,2091000,1926000
Total revenue,162092000,160145000,249852000,197276000,153175000,150736000,225934000,193372000,148455000,155088000,232705000,196276000
Product cost of goods sold,111406000,107075000,164163000,128093000,102732000,99732000,148266000,117326000,95500000,98127000,152741000,125759000
Rental and royalty cost,391000,460000,489000,448000,415000,529000,599000,438000,505000,478000,566000,406000
Total costs,111797000,107535000,164652000,128541000,103147000,100261000,148865000,117764000,96005000,98605000,153307000,126165000
Product gross margin,49305000,51762000,84173000,67275000,48732000,49087000,75625000,74030000,51021000,55063000,77873000,68591000
Rental and royalty gross margin,990000,848000,1027000,1460000,1296000,1388000,1444000,1578000,1429000,1420000,1525000,1520000
Total gross margin,50295000,52610000,85200000,68735000,50028000,50475000,77069000,75608000,52450000,56483000,79398000,70111000
"Selling, marketing and administrative expenses",37499000,37857000,39300000,40356000,38918000,35040000,41825000,36892000,29390000,44362000,47031000,36720000
Earnings from operations,12796000,14753000,45900000,28379000,11110000,15435000,35244000,38716000,23060000,12121000,32367000,33391000
"Other income, net",4780000,4804000,-718000,9200000,9032000,4900000,7188000,5246000,-51000,14072000,16233000,6043000
Earnings before income taxes,17576000,19557000,45182000,37579000,20142000,20335000,42432000,43962000,23009000,26193000,48600000,39434000
Provision for income taxes,4182000,4837000,10805000,8184000,4307000,4701000,9599000,21456000,4968000,8663000,12953000,10670000
Net earnings,13394000,14720000,34377000,29395000,15835000,15634000,32833000,22506000,18041000,17530000,35647000,28764000
Less: net earnings attributable to noncontrolling interests,-7000,-6000,-5000,-8000,1000,-6000,-11000,-3000,-17000,-14000,-12000,-27000
"Net earnings attributable to Tootsie Roll Industries, Inc.",13401000,14726000,34382000,29403000,15834000,15640000,32844000,22509000,18058000,17544000,35659000,28791000
"Net earnings attributable to Tootsie Roll Industries, Inc. per share",0.18446601941747573,0.19417475728155342,0.46601941747572817,0.4353398058252428,0.22,0.21,0.45,0.31,0.25,0.24,0.49,0.390000000000000
Dividends per Share,0.087378641,0.087378641,0.087378641,,0.09,0.09,0.09,,0.09,0.09,0.09,
Average number of shares outstanding,74486510,74328920,73846880,64980590,73536000,73536000,73497000,73192000,72957000,72879000,72879000,72890000
